lineage,clinical_count,clinical_adjusted_pct,clinical_first_detection_date,ww_count_0.01,ww_adjusted_pct_0.01,ww_first_detection_date_0.01,ww_count_0.02,ww_adjusted_pct_0.02,ww_first_detection_date_0.02,ww_count_0.04,ww_adjusted_pct_0.04,ww_first_detection_date_0.04,ww_count_0.08,ww_adjusted_pct_0.08,ww_first_detection_date_0.08,ww_count_0.16,ww_adjusted_pct_0.16,ww_first_detection_date_0.16,ww_count_0.32,ww_adjusted_pct_0.32,ww_first_detection_date_0.32
B.27,0,0.0,,1,9.554653652915937e-05,2025-09-30,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.28,0,0.0,,2,0.00015751389528012572,2024-01-03,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.32,0,0.0,,2,0.00018520676356186165,2023-12-26,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.35,0,0.0,,1,8.60330213271899e-05,2024-09-19,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.41,0,0.0,,1,6.668158674565858e-05,2023-12-27,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.42,0,0.0,,1,0.0001226799616253189,2023-04-30,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.53,0,0.0,,1,0.00015406051774737262,2025-09-08,1,0.00016305048155950474,2025-09-08,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.6,0,0.0,,1,9.011573104028355e-05,2024-09-22,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.6.1,0,0.0,,1,8.832710273826296e-05,2023-12-26,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.6.8,0,0.0,,1,8.125109043899155e-05,2025-09-04,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
BA.1,4,0.004853956581358379,2023-01-22,2,0.001760929670380982,2023-02-02,2,0.0018636860043457543,2023-02-02,2,0.002065906085209328,2023-02-02,2,0.0025150552481701606,2023-02-02,0,0.0,,0,0.0,
BA.1.1,3,0.003640467436018785,2023-01-02,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
BA.1.14,0,0.0,,1,0.00030111557464516464,2023-04-17,1,0.0003186867094103246,2023-04-17,1,0.0003532659529077963,2023-04-17,0,0.0,,0,0.0,,0,0.0,
BA.1.15.3,0,0.0,,1,0.0001014485462073786,2023-07-19,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
BA.1.17.2,0,0.0,,1,8.60330213271899e-05,2023-05-16,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
BA.1.4,0,0.0,,1,9.600826761305134e-05,2023-05-16,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
BA.2,23,0.027910250342810684,2023-01-09,117,0.0274456186395615,2023-01-08,74,0.024790259648450445,2023-01-08,31,0.01728813385874512,2023-01-09,7,0.008799051574348073,2023-03-28,2,0.005577183575759941,2023-05-23,0,0.0,
BA.2.1,0,0.0,,139,0.03414890875628974,2023-01-10,77,0.02986208706276329,2023-01-10,40,0.02516928793310301,2023-01-10,10,0.013623519367076939,2023-03-21,3,0.010353403504988416,2023-04-18,1,0.009692777867733012,2023-07-19
BA.2.10,0,0.0,,106,0.02766079618891596,2023-01-04,67,0.025369896398168404,2023-01-04,35,0.02093636349193826,2023-01-10,13,0.013347934496063248,2023-01-11,1,0.0027471083793047784,2023-06-13,0,0.0,
BA.2.10.1,0,0.0,,4,0.0006623181297319307,2023-03-09,2,0.000496619333414028,2023-11-22,1,0.00038859177101270234,2023-11-22,0,0.0,,0,0.0,,0,0.0,
BA.2.10.3,0,0.0,,10,0.0019737094641283444,2023-01-03,6,0.001636951255041844,2023-01-03,2,0.0009243722876284984,2023-01-03,0,0.0,,0,0.0,,0,0.0,
